['Team B', 'one', 43, 1]
['Team B', 'one', 44, 1]
['Team B', 'dot', 44, 1]
['Team B', 'one', 45, 1]
['Team B', 'one', 46, 1]
['Team B', 'dot', 46, 1]
['Team B', 'one', 47, 1]
['Team B', 'four', 51, 1]
['Team B', 'extra run', 53, 1]
['Team B', 'six', 59, 1]
['Team B', 'dot', 59, 1]
['Team B', 'one', 60, 1]
['Team B', 'one', 61, 1]
['Team B', 'one', 62, 1]
['Team B', 'wicket', 63, 2]
['Team B', 'two', 65, 2]
['Team B', 'six', 71, 2]
['Team B', 'one', 72, 2]
['Team B', 'six', 78, 2]
['Team B', 'dot', 78, 2]
['Team B', 'two', 80, 2]
['Team B', 'extra run', 81, 2]
['Team B', 'dot', 81, 2]
['Team B', 'dot', 81, 2]
['Team B', 'four', 85, 2]
['Team B', 'one', 86, 2]
['Team B', 'dot', 86, 2]
['Team B', 'six', 92, 2]
['Team B', 'dot', 92, 2]
['Team A', 'dot', 0, 0]
['Team A', 'extra run', 1, 0]
['Team A', 'one', 2, 0]
['Team A', 'four', 6, 0]
['Team A', 'four', 10, 0]
['Team A', 'one', 11, 0]
['Team A', 'four', 15, 0]
['Team A', 'dot', 15, 0]
['Team A', 'four', 19, 0]
['Team A', 'dot', 19, 0]
['Team A', 'extra run', 20, 0]
['Team A', 'dot', 20, 0]
['Team A', 'six', 26, 0]
['Team A', 'two', 28, 0]
['Team A', 'one', 29, 0]
['Team A', 'six', 35, 0]
['Team A', 'dot', 35, 0]
['Team A', 'one', 36, 0]
['Team A', 'one', 37, 0]
['Team A', 'one', 38, 0]
['Team A', 'one', 39, 0]
['Team A', 'dot', 39, 0]
['Team A', 'two', 41, 0]
['Team A', 'six', 47, 0]
['Team A', 'two', 49, 0]
['Team A', 'one', 50, 0]
['Team A', 'one', 51, 0]
['Team A', 'six', 57, 0]
['Team A', 'four', 61, 0]
['Team A', 'dot', 61, 0]
['Team A', 'two', 63, 0]
['Team A', 'one', 64, 0]
['Team A', 'one', 65, 0]
['Team A', 'one', 66, 0]
['Team A', 'two', 68, 0]
['Team A', 'dot', 68, 0]
['Team A', 'wicket', 69, 1]
['Team A', 'one', 70, 1]
['Team A', 'wicket', 71, 2]
['Team A', 'one', 72, 2]
['Team A', 'dot', 72, 2]
['Team A', 'one', 73, 2]
['Team A', 'dot', 73, 2]
['Team A', 'two', 75, 2]
['Team A', 'one', 76, 2]
['Team A', 'wicket', 77, 3]
['Team A', 'one', 78, 3]
['Team A', 'dot', 78, 3]
['Team A', 'four', 82, 3]
['Team A', 'four', 86, 3]
['Team A', 'dot', 86, 3]
['Team A', 'dot', 86, 3]
['Team A', 'dot', 86, 3]
['Team A', 'dot', 86, 3]
['Team A', 'one', 87, 3]
['Team A', 'three', 90, 3]
['Team A', 'one', 91, 3]
['Team A', 'dot', 91, 3]
['Team A', 'four', 95, 3]
['Team A', 'one', 96, 3]
['Team B', 'one', 1, 0]
['Team B', 'one', 2, 0]
['Team B', 'dot', 2, 0]
['Team B', 'four', 6, 0]
['Team B', 'six', 12, 0]
['Team B', 'extra run', 15, 0]
['Team B', 'dot', 15, 0]
['Team B', 'four', 19, 0]
['Team B', 'wicket', 20, 1]
['Team B', 'wicket', 21, 2]
['Team B', 'one', 22, 2]
['Team B', 'dot', 22, 2]
['Team B', 'one', 23, 2]
['Team B', 'dot', 23, 2]
['Team B', 'dot', 23, 2]
['Team B', 'one', 24, 2]
['Team B', 'dot', 24, 2]
['Team B', 'dot', 24, 2]
['Team B', 'one', 25, 2]
['Team B', 'dot', 25, 2]
['Team B', 'one', 26, 2]
['Team B', 'extra run', 27, 2]
['Team B', 'dot', 27, 2]
['Team B', 'four', 31, 2]
['Team B', 'four', 35, 2]
['Team B', 'one', 36, 2]
['Team B', 'wicket', 37, 3]
['Team B', 'one', 38, 3]
['Team B', 'four', 42, 3]
['Team B', 'four', 46, 3]
['Team B', 'one', 47, 3]
['Team B', 'dot', 47, 3]
['Team B', 'dot', 47, 3]
['Team B', 'one', 48, 3]
['Team B', 'four', 52, 3]
['Team B', 'one', 53, 3]
['Team B', 'one', 54, 3]
['Team B', 'wicket', 55, 4]
['Team B', 'dot', 55, 4]
['Team B', 'one', 56, 4]
['Team B', 'dot', 56, 4]
['Team B', 'dot', 56, 4]
['Team B', 'extra run', 57, 4]
['Team B', 'dot', 57, 4]
['Team B', 'dot', 57, 4]
['Team B', 'dot', 57, 4]
['Team B', 'wicket', 58, 5]
['Team B', 'one', 59, 5]
['Team B', 'dot', 59, 5]
['Team B', 'one', 60, 5]
['Team B', 'one', 61, 5]
['Team B', 'five', 66, 5]
['Team B', 'two', 68, 5]
['Team B', 'one', 69, 5]
['Team B', 'four', 73, 5]
['Team B', 'dot', 73, 5]
['Team B', 'extra run', 74, 5]
['Team B', 'wicket', 75, 6]
['Team B', 'extra run', 76, 6]
['Team B', 'extra run', 81, 6]
