,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
22,Match 38 ,2015-05-04,Kolkata Knight Riders,167,7,20.0,Sunrisers Hyderabad,132,9,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,UT Yadav,Sunrisers Hyderabad,field,runs,35.0,N
23,Match 37 ,2015-05-04,Chennai Super Kings,148,9,20.0,Royal Challengers Bangalore,124,0,19.4,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,SK Raina,Chennai Super Kings,bat,runs,24.0,N
24,Match 36 ,2015-05-03,Rajasthan Royals,189,2,20.0,Delhi Capitals,175,7,20.0,Rajasthan Royals,Brabourne Stadium,Mumbai,AM Rahane,Delhi Daredevils,field,runs,14.0,N
25,Match 35 ,2015-05-03,Punjab Kings,149,7,20.0,Mumbai Indians,172,3,20.0,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,LMP Simmons,Mumbai Indians,bat,runs,23.0,N
26,Match 34 ,2015-05-02,Sunrisers Hyderabad,192,7,20.0,Chennai Super Kings,170,6,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DA Warner,Chennai Super Kings,field,runs,22.0,N
27,Match 33 ,2015-05-02,Royal Challengers Bangalore,115,3,9.4,Kolkata Knight Riders,111,4,10.0,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Mandeep Singh,Royal Challengers Bangalore,field,wickets,7.0,N
28,Match 32 ,2015-05-01,Mumbai Indians,187,5,20.0,Rajasthan Royals,179,7,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,AT Rayudu,Rajasthan Royals,field,runs,8.0,N
29,Match 31 ,2015-05-01,Delhi Capitals,119,1,13.5,Punjab Kings,118,8,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,NM Coulter-Nile,Delhi Daredevils,field,wickets,9.0,N
30,Match 30 ,2015-04-30,Kolkata Knight Riders,169,3,19.5,Chennai Super Kings,165,9,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,AD Russell,Kolkata Knight Riders,field,wickets,7.0,N
31,Match 29 ,2015-04-29,Royal Challengers Bangalore,200,7,20.0,Rajasthan Royals,0,0,0.0,No Result,M Chinnaswamy Stadium,Bangalore,,Rajasthan Royals,field,,,
32,Match 28 ,2015-04-28,Chennai Super Kings,134,6,20.0,Kolkata Knight Riders,132,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,DJ Bravo,Kolkata Knight Riders,field,runs,2.0,N
33,Match 27 ,2015-04-27,Punjab Kings,130,9,20.0,Sunrisers Hyderabad,150,6,20.0,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,TA Boult,Kings XI Punjab,field,runs,20.0,N
34,Match 26 ,2015-04-26,Delhi Capitals,95,0,18.2,Royal Challengers Bangalore,99,0,10.3,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,VR Aaron,Royal Challengers Bangalore,field,wickets,10.0,N
35,Match 24 ,2015-04-25,Chennai Super Kings,192,3,20.0,Punjab Kings,95,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,BB McCullum,Chennai Super Kings,bat,runs,97.0,N
36,Match 23 ,2015-04-25,Mumbai Indians,157,8,20.0,Sunrisers Hyderabad,137,8,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,SL Malinga,Mumbai Indians,bat,runs,20.0,N
37,Match 22 ,2015-04-24,Rajasthan Royals,130,9,20.0,Royal Challengers Bangalore,134,1,16.1,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Ahmedabad,MA Starc,Royal Challengers Bangalore,field,wickets,9.0,N
38,Match 21 ,2015-04-23,Delhi Capitals,190,4,20.0,Mumbai Indians,153,9,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,SS Iyer,Mumbai Indians,field,runs,37.0,N
39,Match 20 ,2015-04-22,Royal Challengers Bangalore,154,8,20.0,Chennai Super Kings,181,8,20.0,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,SK Raina,Royal Challengers Bangalore,field,runs,27.0,N
40,Match 19 ,2015-04-22,Sunrisers Hyderabad,176,4,20.0,Kolkata Knight Riders,101,4,12.0,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,DA Warner,Kolkata Knight Riders,field,runs,16.0,N
41,Match 18 ,2015-04-21,Rajasthan Royals,191,6,20.0,Punjab Kings,191,6,20.0,Kings XI Punjab,"Sardar Patel Stadium, Motera",Ahmedabad,SE Marsh,Kings XI Punjab,field,tie,,Y
42,Match 17 ,2015-04-20,Delhi Capitals,146,8,20.0,Kolkata Knight Riders,147,4,18.1,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,UT Yadav,Kolkata Knight Riders,field,wickets,6.0,N
43,Match 16 ,2015-04-19,Royal Challengers Bangalore,191,7,20.0,Mumbai Indians,209,7,20.0,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Harbhajan Singh,Royal Challengers Bangalore,field,runs,18.0,N
44,Match 15 ,2015-04-19,Rajasthan Royals,157,2,18.2,Chennai Super Kings,156,4,20.0,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,AM Rahane,Chennai Super Kings,bat,wickets,8.0,N
45,Match 14 ,2015-04-18,Punjab Kings,155,9,20.0,Kolkata Knight Riders,159,6,17.5,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,AD Russell,Kolkata Knight Riders,field,wickets,4.0,N
46,Match 13 ,2015-04-18,Sunrisers Hyderabad,163,8,20.0,Delhi Capitals,167,4,20.0,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,JP Duminy,Delhi Daredevils,bat,runs,4.0,N
47,Match 12 ,2015-04-17,Mumbai Indians,183,7,20.0,Chennai Super Kings,189,4,16.4,Chennai Super Kings,Wankhede Stadium,Mumbai,A Nehra,Mumbai Indians,bat,wickets,6.0,N
48,Match 11 ,2015-04-16,Sunrisers Hyderabad,127,5,20.0,Rajasthan Royals,131,4,20.0,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,AM Rahane,Rajasthan Royals,field,wickets,6.0,N
49,Match 10 ,2015-04-15,Punjab Kings,165,7,20.0,Delhi Capitals,169,5,19.5,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,MA Agarwal,Kings XI Punjab,bat,wickets,5.0,N
50,Match 9 ,2015-04-14,Rajasthan Royals,165,3,19.1,Mumbai Indians,164,5,20.0,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,SPD Smith,Mumbai Indians,bat,wickets,7.0,N
51,Match 8 ,2015-04-13,Royal Challengers Bangalore,166,0,19.5,Sunrisers Hyderabad,172,2,17.2,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,DA Warner,Sunrisers Hyderabad,field,wickets,8.0,N
52,Match 7 ,2015-04-12,Mumbai Indians,159,7,20.0,Punjab Kings,177,5,20.0,Kings XI Punjab,Wankhede Stadium,Mumbai,GJ Bailey,Mumbai Indians,field,runs,18.0,N
53,Match 6 ,2015-04-12,Delhi Capitals,184,3,20.0,Rajasthan Royals,186,5,20.0,Rajasthan Royals,Feroz Shah Kotla,Delhi,DJ Hooda,Rajasthan Royals,field,wickets,3.0,N
54,Match 5 ,2015-04-11,Kolkata Knight Riders,177,6,20.0,Royal Challengers Bangalore,179,7,19.0,Royal Challengers Bangalore,Eden Gardens,Kolkata,CH Gayle,Royal Challengers Bangalore,field,wickets,3.0,N
55,Match 4 ,2015-04-11,Chennai Super Kings,209,4,20.0,Sunrisers Hyderabad,164,6,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,BB McCullum,Chennai Super Kings,bat,runs,45.0,N
56,Match 3 ,2015-04-10,Punjab Kings,136,8,20.0,Rajasthan Royals,162,7,20.0,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,JP Faulkner,Kings XI Punjab,field,runs,26.0,N
57,Match 2 ,2015-04-09,Chennai Super Kings,150,7,20.0,Delhi Capitals,149,9,20.0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,A Nehra,Delhi Daredevils,field,runs,1.0,N
58,Match 1 ,2015-04-08,Kolkata Knight Riders,170,3,18.3,Mumbai Indians,168,3,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,M Morkel,Kolkata Knight Riders,field,wickets,7.0,N
