,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
17,Match 43 ,2018-05-11,Rajasthan Royals,177,6,19.5,Chennai Super Kings,176,4,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,JC Buttler,Chennai Super Kings,bat,wickets,4.0,N
18,Match 42 ,2018-05-10,Delhi Capitals,187,5,20.0,Sunrisers Hyderabad,191,1,18.5,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,S Dhawan,Delhi Daredevils,bat,wickets,9.0,N
19,Match 41 ,2018-05-09,Kolkata Knight Riders,108,0,18.1,Mumbai Indians,210,6,20.0,Mumbai Indians,Eden Gardens,Kolkata,Ishan Kishan,Kolkata Knight Riders,field,runs,102.0,N
20,Match 40 ,2018-05-08,Rajasthan Royals,158,8,20.0,Punjab Kings,143,7,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,JC Buttler,Rajasthan Royals,bat,runs,15.0,N
21,Match 39 ,2018-05-07,Sunrisers Hyderabad,146,0,20.0,Royal Challengers Bangalore,141,6,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,KS Williamson,Royal Challengers Bangalore,field,runs,5.0,N
22,Match 38 ,2018-05-06,Punjab Kings,155,4,18.4,Rajasthan Royals,152,9,20.0,Kings XI Punjab,Holkar Cricket Stadium,Indore,Mujeeb Ur Rahman,Kings XI Punjab,field,wickets,6.0,N
23,Match 37 ,2018-05-06,Mumbai Indians,181,4,20.0,Kolkata Knight Riders,168,6,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,HH Pandya,Kolkata Knight Riders,field,runs,13.0,N
24,Match 36 ,2018-05-05,Sunrisers Hyderabad,164,3,19.5,Delhi Capitals,163,5,20.0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rashid Khan,Delhi Daredevils,bat,wickets,7.0,N
25,Match 35 ,2018-05-05,Chennai Super Kings,128,4,18.0,Royal Challengers Bangalore,127,9,20.0,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,RA Jadeja,Chennai Super Kings,field,wickets,6.0,N
26,Match 34 ,2018-05-04,Punjab Kings,174,6,20.0,Mumbai Indians,176,4,19.0,Mumbai Indians,Holkar Cricket Stadium,Indore,SA Yadav,Mumbai Indians,field,wickets,6.0,N
27,Match 33 ,2018-05-03,Kolkata Knight Riders,180,4,17.4,Chennai Super Kings,177,5,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,SP Narine,Kolkata Knight Riders,field,wickets,6.0,N
28,Match 32 ,2018-05-02,Delhi Capitals,196,6,17.1,Rajasthan Royals,146,5,12.0,Delhi Capitals,Feroz Shah Kotla,Delhi,RR Pant,Rajasthan Royals,field,runs,4.0,N
